price,region,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
1900,reno / tahoe,house,1800,3,2.0,0,0,0,0,0,0,w/d in unit,attached garage
1395,reno / tahoe,condo,960,2,2.0,0,0,0,0,0,0,w/d hookups,off-street parking
1001,reno / tahoe,apartment,850,2,2.0,1,1,1,1,0,0,laundry on site,carport
1516,reno / tahoe,apartment,1171,2,2.0,1,1,1,0,0,0,w/d in unit,carport
1025,reno / tahoe,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,carport
1199,reno / tahoe,apartment,860,2,1.0,1,1,1,0,0,0,laundry on site,carport
919,reno / tahoe,apartment,862,2,1.0,1,1,1,0,0,0,laundry in bldg,detached garage
1595,reno / tahoe,apartment,1098,2,2.5,1,1,0,0,0,0,w/d in unit,carport
1525,reno / tahoe,apartment,1067,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1525,reno / tahoe,apartment,1053,2,2.0,1,1,0,0,0,0,w/d in unit,carport
1325,reno / tahoe,apartment,710,1,1.0,1,1,0,0,0,0,w/d in unit,carport
1122,reno / tahoe,apartment,680,1,1.0,1,1,1,0,0,0,laundry on site,carport
1195,reno / tahoe,apartment,380,0,1.0,1,1,1,0,0,0,laundry on site,attached garage
1255,reno / tahoe,apartment,358,1,1.0,1,1,1,0,0,0,laundry on site,attached garage
1095,reno / tahoe,apartment,353,0,1.0,1,1,1,0,0,0,laundry on site,attached garage
900,reno / tahoe,apartment,794,1,1.0,0,0,1,0,0,0,na,na
745,reno / tahoe,apartment,280,0,1.0,0,0,1,0,0,0,laundry in bldg,na
3200,reno / tahoe,house,1220,3,2.0,1,1,1,0,0,0,w/d hookups,detached garage
1495,reno / tahoe,duplex,1192,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage
1200,reno / tahoe,apartment,1000,1,1.0,0,0,1,0,0,0,w/d in unit,attached garage
1890,reno / tahoe,house,2413,3,2.5,0,1,1,0,0,0,w/d in unit,attached garage
1500,reno / tahoe,house,1476,3,2.0,0,1,0,0,0,0,w/d in unit,attached garage
1495,reno / tahoe,townhouse,1200,2,1.0,0,0,0,0,0,0,w/d in unit,detached garage
1099,reno / tahoe,apartment,840,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
899,reno / tahoe,apartment,640,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
1200,reno / tahoe,apartment,750,2,1.0,1,1,0,0,0,0,w/d in unit,na
1800,reno / tahoe,house,1014,3,1.5,1,1,0,0,0,0,w/d in unit,na
1050,reno / tahoe,apartment,550,1,1.0,1,1,1,0,0,0,laundry on site,na
1059,reno / tahoe,apartment,875,2,1.0,1,1,1,0,0,0,laundry on site,na
1675,reno / tahoe,loft,900,0,1.0,1,1,0,0,0,0,w/d in unit,na
1000,reno / tahoe,apartment,282,0,1.0,1,0,0,0,0,0,laundry on site,street parking
1725,reno / tahoe,apartment,1062,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking
1400,reno / tahoe,house,1308,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage
995,reno / tahoe,apartment,956,2,1.0,0,0,1,0,0,0,w/d in unit,na
1250,reno / tahoe,house,1250,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage
1400,reno / tahoe,apartment,850,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking
1260,reno / tahoe,apartment,825,2,1.0,1,1,0,1,0,0,laundry in bldg,carport
1279,reno / tahoe,apartment,740,1,1.0,1,1,1,0,0,0,w/d in unit,carport
1241,reno / tahoe,apartment,840,2,1.0,1,1,1,0,0,0,laundry in bldg,carport
1400,reno / tahoe,apartment,900,2,1.0,1,1,1,0,0,0,laundry on site,na
1375,reno / tahoe,apartment,1168,2,2.0,0,0,1,0,0,0,w/d hookups,carport
1605,reno / tahoe,townhouse,1300,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage
